Job_Number,Category,# Total,# Complete,# In Process,# Not Started,% Complete,% Complete (Text),CategorySortOrder
11582A-74,Outside Service Routing,0,0,0,0,0.0,0%,3
11582A-75,Outside Service Routing,0,0,0,0,0.0,0%,3
11582A-84,Outside Service Routing,0,0,0,0,0.0,0%,3
11582A-85,Outside Service Routing,0,0,0,0,0.0,0%,3
11582A-90,Outside Service Routing,0,0,0,0,0.0,0%,3
11582A-91,Outside Service Routing,0,0,0,0,0.0,0%,3
11582A-93,Outside Service Routing,0,0,0,0,0.0,0%,3
11582A-96,Outside Service Routing,0,0,0,0,0.0,0%,3
11582A-98,Outside Service Routing,0,0,0,0,0.0,0%,3
11582A-99,Outside Service Routing,0,0,0,0,0.0,0%,3
11582B-01,Outside Service Routing,0,0,0,0,0.0,0%,3
11582D-02,Outside Service Routing,0,0,0,0,0.0,0%,3
11582D-03,Outside Service Routing,0,0,0,0,0.0,0%,3
11582D-04,Outside Service Routing,0,0,0,0,0.0,0%,3
11582D-05,Outside Service Routing,0,0,0,0,0.0,0%,3
11582D-104,Outside Service Routing,0,0,0,0,0.0,0%,3
11582D-107,Outside Service Routing,0,0,0,0,0.0,0%,3
11582D-109,Outside Service Routing,0,0,0,0,0.0,0%,3
11582D-110,Outside Service Routing,0,0,0,0,0.0,0%,3
11582D-111,Outside Service Routing,0,0,0,0,0.0,0%,3
11582D-112,Outside Service Routing,0,0,0,0,0.0,0%,3
11582D-116,Outside Service Routing,0,0,0,0,0.0,0%,3
11582D-117,Outside Service Routing,0,0,0,0,0.0,0%,3
11582D-118,Outside Service Routing,0,0,0,0,0.0,0%,3
11582D-120,Outside Service Routing,0,0,0,0,0.0,0%,3
11582D-121,Outside Service Routing,0,0,0,0,0.0,0%,3
11582D-122,Outside Service Routing,0,0,0,0,0.0,0%,3
11582D-127,Outside Service Routing,0,0,0,0,0.0,0%,3
11582D-128,Outside Service Routing,0,0,0,0,0.0,0%,3
11582D-129,Outside Service Routing,0,0,0,0,0.0,0%,3
11582D-130,Outside Service Routing,0,0,0,0,0.0,0%,3
11582D-134,Outside Service Routing,0,0,0,0,0.0,0%,3
11582D-139,Outside Service Routing,0,0,0,0,0.0,0%,3
11582D-14,Outside Service Routing,0,0,0,0,0.0,0%,3
11582D-141,Outside Service Routing,0,0,0,0,0.0,0%,3
11582D-147,Outside Service Routing,0,0,0,0,0.0,0%,3
11582D-148,Outside Service Routing,0,0,0,0,0.0,0%,3
11582D-149,Outside Service Routing,0,0,0,0,0.0,0%,3
11582D-15,Outside Service Routing,0,0,0,0,0.0,0%,3
11582D-152,Outside Service Routing,0,0,0,0,0.0,0%,3
11582D-153,Outside Service Routing,0,0,0,0,0.0,0%,3
11582D-159,Outside Service Routing,0,0,0,0,0.0,0%,3
11582D-16,Outside Service Routing,0,0,0,0,0.0,0%,3
11582D-160,Outside Service Routing,0,0,0,0,0.0,0%,3
11582D-161,Outside Service Routing,0,0,0,0,0.0,0%,3
11582D-162,Outside Service Routing,0,0,0,0,0.0,0%,3
11582D-167,Outside Service Routing,0,0,0,0,0.0,0%,3
11582D-168,Outside Service Routing,0,0,0,0,0.0,0%,3
11582D-169,Outside Service Routing,0,0,0,0,0.0,0%,3
11582D-17,Outside Service Routing,0,0,0,0,0.0,0%,3
11582D-170,Outside Service Routing,0,0,0,0,0.0,0%,3
11582D-171,Outside Service Routing,0,0,0,0,0.0,0%,3
11582D-172,Outside Service Routing,0,0,0,0,0.0,0%,3
11582D-173,Outside Service Routing,0,0,0,0,0.0,0%,3
11582D-178,Outside Service Routing,0,0,0,0,0.0,0%,3
11582D-179,Outside Service Routing,0,0,0,0,0.0,0%,3
11582D-181,Outside Service Routing,0,0,0,0,0.0,0%,3
11582D-182,Outside Service Routing,0,0,0,0,0.0,0%,3
11582D-187,Outside Service Routing,0,0,0,0,0.0,0%,3
11582D-188,Outside Service Routing,0,0,0,0,0.0,0%,3
11582D-189,Outside Service Routing,0,0,0,0,0.0,0%,3
11582D-190,Outside Service Routing,0,0,0,0,0.0,0%,3
11582D-191,Outside Service Routing,0,0,0,0,0.0,0%,3
11582D-196,Outside Service Routing,0,0,0,0,0.0,0%,3
